ObjectsMade,MemoryLeft,TimeToAdd
1,4283314008,0
2,4274925400,11
3,4266536792,11
4,4258148184,12
5,4249759576,12
6,4241370968,13
7,4232982360,13
8,4224593752,13
9,4216205144,14
10,4207816536,14
11,4199427928,15
12,4191039320,15
13,4182650712,16
14,4174262104,16
15,4165873496,17
16,4157484888,17
17,4149096280,18
18,4140707672,18
19,4132319064,19
20,4123930456,19
21,4115541848,19
22,4107153240,20
23,4098764632,20
24,4090376024,21
25,4081987416,21
26,4073598808,22
27,4065210200,22
28,4056821592,23
29,4048432984,23
30,4040044376,24
31,4031655768,24
32,4023267160,25
33,4014878552,25
34,4006489944,26
35,3998101336,26
36,3989712728,27
37,3981324120,27
38,3972935512,28
39,3964546904,28
40,3956158296,29
41,3947769688,29
42,3939381080,30
43,3930992472,30
44,3922603864,30
45,3914215256,31
46,3905826648,31
47,3897438040,32
48,3889049432,32
49,3880660824,33
50,3872272216,33
51,3863883608,34
52,3855495000,34
53,3847106392,34
54,3838717784,35
55,3830329176,35
56,3821940568,36
57,3813551960,36
58,3805163352,36
59,3796774744,37
60,3788386136,37
61,3779997528,38
62,3771608920,38
63,3763220312,39
64,3754831704,39
65,3746443096,40
66,3738054488,40
67,3729665880,40
68,3721277272,41
69,3712888664,41
70,3704500056,42
71,3696111448,43
72,3687722840,43
73,3679334232,43
74,3670945624,44
75,3662557016,44
76,3654168408,45
77,3645779800,45
78,3637391192,46
79,3629002584,46
80,3620613976,47
81,3612225368,47
82,3603836760,47
83,3595448152,48
84,3587059544,48
85,3578670936,49
86,3570282328,49
87,3561893720,50
88,3553505112,50
89,3545116504,50
90,3536727896,51
91,3528339288,51
92,3519950680,52
93,3511562072,52
94,3503173464,53
95,3494784856,53
96,3486396248,53
97,3478007640,54
98,3469619032,54
99,3461230424,55
100,3452841816,55
101,3444453208,55
102,3436064600,56
103,3427675992,56
104,3419287384,57
105,3410898776,57
106,3402510168,58
107,3394121560,58
108,3385732952,59
109,3377344344,59
110,3368955736,60
111,3360567128,60
112,3352178520,61
113,3343789912,61
114,3335401304,61
115,3327012696,62
116,3318624088,62
117,3310235480,63
118,3301846872,63
119,3293458264,63
120,3285069656,64
121,3276681048,64
122,3268292440,65
123,3259903832,65
124,3251515224,66
125,3243126616,66
126,3234738008,66
127,3226349400,67
128,3217960792,67
129,3209572184,68
130,3201183576,68
131,3192794968,69
132,3184406360,69
133,3176017752,69
134,3167629144,70
135,3159240536,70
136,3150851928,71
137,3142463320,71
138,3134074712,71
139,3125686104,72
140,3117297496,72
141,3108908888,73
142,3100520280,73
143,3092131672,74
144,3083743064,74
145,3075354456,75
146,3066965848,75
147,3058577240,76
148,3050188632,76
149,3041800024,77
150,3033411416,77
151,3025022808,77
152,3016634200,78
153,3008245592,78
154,2999856984,79
155,2991468376,79
156,2983079768,80
157,2974691160,80
158,2966302552,80
159,2957913944,81
160,2949525336,81
161,2941136728,82
162,2932748120,82
163,2924359512,82
164,2915970904,83
165,2907582296,83
166,2899193688,84
167,2890805080,84
168,2882416472,84
169,2874027864,85
170,2865639256,85
171,2857250648,86
172,2848862040,87
173,2840473432,87
174,2832084824,88
175,2823696216,88
176,2815307608,89
177,2806919000,90
178,2798530392,92
179,2790141784,93
180,2781753176,95
181,2773364568,97
182,2764975960,99
183,2756587352,100
184,2748198744,102
185,2739810136,103
186,2731421528,104
187,2723032920,105
188,2714644312,107
189,2706255704,108
190,2697867096,109
191,2689478488,109
192,2681089880,110
193,2672701272,111
194,2664312664,111
195,2655924056,112
196,2647535448,112
197,2639146840,113
198,2630758232,113
199,2622369624,114
200,2613981016,115
201,2605592408,115
202,2597203800,116
203,2588815192,116
204,2580426584,117
205,2572037976,118
206,2563649368,119
207,2555260760,120
208,2546872152,120
209,2538483544,121
210,2530094936,122
211,2521706328,124
212,2513317720,125
213,2504929112,125
214,2496540504,126
215,2488151896,126
216,2479763288,127
217,2471374680,127
218,2462986072,128
219,2454597464,129
220,2446208856,129
221,2437820248,130
222,2429431640,130
223,2421043032,131
224,2412654424,132
225,2404265816,132
226,2395877208,133
227,2387488600,134
228,2379099992,136
229,2370711384,137
230,2366148560,139
231,2360025592,142
232,2349580920,143
233,2341192312,143
234,2332803704,145
235,2324415096,147
236,2316026488,148
237,2307637880,151
238,2299249272,152
239,2290860664,154
240,2282472056,155
241,2274083448,155
242,2265694840,157
243,2257306232,157
244,2248917624,158
245,2240529016,159
246,2232140408,160
247,2223751800,161
248,2215363192,162
249,2206974584,162
250,2198585976,163
251,2190197368,164
252,2181808760,165
253,2173420152,166
254,2165031544,167
255,2156642936,167
256,2148254328,168
257,2139865720,169
258,2131477112,169
259,2123088504,170
260,2114699896,170
261,2106311288,171
262,2097922680,171
263,2089534072,172
264,2081145464,175
265,2072756856,176
266,2064368248,178
267,2055979640,178
268,2047591032,179
269,2039202424,180
270,2030813816,181
271,2022425208,182
272,2014036600,183
273,2005647992,183
274,1997259384,184
275,1988870776,184
276,1980482168,185
277,1972093560,186
278,1963704952,187
279,1955316344,188
280,1946927736,188
281,1938539128,189
282,1930150520,191
283,1921761912,193
284,1913373304,193
285,1904984696,194
286,1896596088,195
287,1888207480,197
288,1879818872,199
289,1871430264,201
290,1863041656,202
291,1854653048,203
292,1846264440,204
293,1837875832,206
294,1829487224,207
295,1821098616,209
296,1812710008,210
297,1804321400,211
298,1795932792,212
299,1787544184,213
300,1779155576,215
301,1770766968,216
302,1762378360,218
303,1753989752,219
304,1745601144,220
305,1737212536,221
306,1728823928,222
307,1720435320,224
308,1712046712,225
309,1703658104,226
310,1695269496,228
311,1686880888,229
312,1678492280,232
313,1670103672,234
314,1661715064,235
315,1653326456,236
316,1644937848,237
317,1636549240,237
318,1628160632,239
319,1619772024,240
320,1611383416,241
321,1602994808,244
322,1594606200,245
323,1586217592,245
324,1577828984,247
325,1569440376,247
326,1561051768,248
327,1552663160,248
328,1544274552,249
329,1535885944,250
330,1527497336,250
331,1519108728,251
332,1510720120,251
333,1502331512,253
334,1493942904,253
335,1485554296,254
336,1477165688,254
337,1468777080,256
338,1460388472,256
339,1451999864,257
340,1443611256,258
341,1435222648,259
342,1426834040,260
343,1418445432,260
344,1410056824,261
345,1401668216,262
346,1393279608,263
347,1384891000,263
348,1376502392,265
349,1368113784,265
350,1359725176,266
351,1351336568,266
352,1342947960,267
353,1334559352,268
354,1326170744,268
355,1317782136,269
356,1309393528,270
357,1301004920,271
358,1292616312,271
359,1284227704,272
360,1275839096,273
361,1267450488,274
362,1259061880,275
363,1250673272,276
364,1242284664,277
365,1233896056,278
366,1225507448,278
367,1217118840,279
368,1208730232,280
369,1200341624,280
370,1191953016,281
371,1183564408,282
372,1175175800,283
373,1166787192,283
374,1158398584,284
375,1150009976,285
376,1141621368,285
377,1133232760,286
378,1124844152,288
379,1116455544,288
380,1108066936,289
381,1099678328,290
382,1091289720,290
383,1082901112,292
384,1074512504,293
385,1066123896,293
386,1057735288,294
387,1049346680,295
388,1040958072,295
389,1032569464,296
390,1024180856,297
391,1015792248,297
392,1007403640,298
393,999015032,300
394,990626424,301
395,982237816,301
396,973849208,302
397,965460600,303
398,957071992,303
399,948683384,304
400,940294776,304
401,931906168,306
402,923517560,306
403,915128952,308
404,906740344,309
405,898351736,309
406,889963128,310
407,881574520,311
408,873185912,311
409,864797304,312
410,856408696,314
411,848020088,314
412,839631480,315
413,831242872,315
414,822854264,316
415,814465656,316
416,806077048,317
417,797688440,317
418,789299832,318
419,780911224,318
420,772522616,318
421,764134008,319
422,755745400,320
423,747356792,321
424,738968184,321
425,730579576,323
426,722190968,325
427,713802360,325
428,705413752,325
429,697025144,326
430,688636536,326
431,680247928,327
432,671859320,327
433,663470712,328
434,655082104,328
435,646693496,329
436,638304888,330
437,629916280,330
438,621527672,331
439,613139064,332
440,604750456,333
441,596361848,334
442,587973240,334
443,579584632,335
444,571196024,336
445,562807416,336
446,554418808,337
447,546030200,338
448,537641592,339
449,529252984,340
450,520864376,340
451,512475768,341
452,504087160,342
453,495698552,343
454,487309944,345
455,478921336,346
456,470532728,346
457,462144120,347
458,453755512,347
459,445366904,348
460,436978296,349
461,428589688,350
462,420201080,350
463,411812472,351
464,403423864,352
465,395035256,353
466,386646648,353
467,378258040,354
468,369869432,356
469,361480824,357
470,353092216,357
471,344703608,359
472,336315000,360
473,327926392,361
474,319537784,361
475,311149176,362
476,302760568,363
477,294371960,365
478,285983352,365
479,277594744,366
480,269206136,367
481,260817528,367
482,252428920,368
483,244040312,368
484,235651704,369
485,227263096,370
486,218874488,371
487,210485880,372
488,202097272,373
489,193708664,374
490,185320056,375
491,176931448,377
492,168542840,377
493,160154232,378
494,151765624,378
495,143377016,379
496,134988408,380
497,126599800,381
498,118211192,382
499,109822584,383
500,101433976,384
501,93045368,384
502,84656760,384
503,76268152,385
504,67879544,386
505,59490936,387
506,51102328,387
507,42713720,388
508,34325112,389
509,25936504,390
510,17547896,392
511,9159288,393
512,9159288,394
513,9159288,395
514,9159288,396
515,9159288,397
516,9159288,398
517,9159288,398
518,9159288,399
519,9159288,399
520,9159288,401
521,9159288,401
522,9159288,401
523,9159288,402
524,9159288,403
525,9159288,403
526,9159288,403
527,9159288,404
528,9159288,404
529,9159288,405
530,9159288,406
531,9159288,407
532,9159288,409
533,9159288,410
534,9159288,410
535,9159288,411
536,9159288,411
537,9159288,412
538,9159288,413
539,9159288,414
540,9159288,414
541,9159288,415
542,9159288,416
543,9159288,417
544,9159288,417
545,9159288,420
546,9159288,420
547,9159288,420
548,9159288,421
549,9159288,421
550,9159288,422
551,9159288,423
552,9159288,424
553,9159288,424
554,9159288,426
555,9159288,426
556,9159288,427
557,9159288,428
558,9159288,428
559,9159288,429
560,9159288,430
561,9159288,431
562,9159288,432
563,9159288,432
564,9159288,433
565,9159288,434
566,9159288,435
567,9159288,436
568,9159288,436
569,9159288,437
570,9159288,438
571,9159288,438
572,9159288,439
573,9159288,440
574,9159288,441
575,9159288,443
576,9159288,443
577,9159288,444
578,9159288,444
579,9159288,445
580,9159288,446
581,9159288,447
582,9159288,447
583,9159288,448
584,9159288,449
585,9159288,450
586,9159288,450
587,9159288,451
588,9159288,452
589,9159288,453
590,9159288,453
591,9159288,454
592,9159288,455
593,9159288,455
594,9159288,457
595,9159288,458
596,9159288,459
597,9159288,459
598,9159288,460
599,9159288,461
600,9159288,462
601,9159288,464
602,9159288,465
603,9159288,465
604,9159288,466
605,9159288,466
606,9159288,466
607,9159288,467
608,9159288,468
609,9159288,468
610,9159288,469
611,9159288,470
612,9159288,471
613,9159288,472
614,9159288,473
615,9159288,474
616,9159288,475
617,9159288,477
618,9159288,477
619,9159288,478
620,9159288,478
621,9159288,480
622,9159288,480
623,9159288,481
624,9159288,481
625,9159288,481
626,9159288,482
627,9159288,483
628,9159288,484
629,9159288,485
630,9159288,486
631,9159288,486
632,9159288,487
633,9159288,488
634,9159288,489
635,9159288,490
636,9159288,491
637,9159288,492
638,9159288,493
639,9159288,494
640,9159288,495
641,9159288,496
642,9159288,498
643,9159288,499
644,9159288,499
645,9159288,500
646,9159288,501
647,9159288,502
648,9159288,503
649,9159288,504
650,9159288,505
651,9159288,507
652,9159288,508
653,9159288,509
654,9159288,509
655,9159288,510
656,9159288,510
657,9159288,511
658,9159288,512
659,9159288,513
660,9159288,514
661,9159288,514
662,9159288,515
663,9159288,516
664,9159288,517
665,9159288,518
666,9159288,519
667,9159288,520
668,9159288,521
669,9159288,522
670,9159288,523
671,9159288,525
672,9159288,526
673,9159288,526
674,9159288,527
675,9159288,529
676,9159288,530
677,9159288,531
678,9159288,531
679,9159288,532
680,9159288,533
681,9159288,534
682,9159288,534
683,9159288,535
684,9159288,536
685,9159288,536
686,9159288,537
687,9159288,538
688,9159288,539
689,9159288,539
690,9159288,541
691,9159288,542
692,9159288,542
693,9159288,544
694,9159288,544
695,9159288,545
696,9159288,546
697,9159288,547
698,9159288,547
699,9159288,548
700,9159288,549
701,9159288,550
702,9159288,551
703,9159288,552
