ObjectsMade,MemoryLeft,TimeToAdd
1,259466488,0
2,250574488,9
3,242185880,10
4,233797272,10
5,225408664,11
6,217020056,11
7,208631448,11
8,200242840,12
9,191854232,12
10,183465624,13
11,175077016,13
12,166688408,14
13,158299800,14
14,149911192,15
15,142714096,16
16,134360952,16
17,125972344,17
18,117583736,17
19,109195128,18
20,100806520,18
21,92417912,19
22,84029304,19
23,75640696,20
24,67252088,20
25,58863480,20
26,50474872,21
27,42086264,21
28,33697656,22
29,25309048,22
30,16920440,22
31,8531832,23
32,8531832,23
33,8531832,24
34,8531832,24
35,8531832,25
36,8531832,25
37,8531832,25
38,8531832,26
39,8531832,26
40,8531832,27
41,8531832,27
42,8531832,27
43,8531832,28
44,8531832,28
45,8531832,29
46,8531832,29
47,8531832,29
48,8531832,30
49,8531832,30
50,8531832,31
51,8531832,31
52,8531832,32
53,8531832,32
54,8531832,32
55,8531832,34
56,8531832,34
57,8531832,35
58,8531832,35
59,8531832,36
60,8531832,37
61,8531832,37
62,8531832,38
63,8531832,38
64,8531832,39
65,8531832,40
66,8531832,41
67,8531832,42
68,8531832,42
69,8531832,43
70,8531832,43
71,8531832,44
72,8531832,45
73,8531832,45
74,8531832,46
75,8531832,46
76,8531832,47
77,8531832,47
78,8531832,49
79,8531832,51
80,8531832,52
81,8531832,53
82,8531832,54
83,8531832,55
84,8531832,56
85,8531832,57
86,8531832,58
87,8531832,60
88,8531832,62
89,8531832,63
90,8531832,64
91,8531832,66
92,8531832,67
93,8531832,67
94,8531832,68
95,8531832,68
96,8531832,69
97,8531832,69
98,8531832,70
99,8531832,70
100,8531832,71
101,8531832,71
102,8531832,72
103,8531832,73
104,8531832,74
105,8531832,75
106,8531832,75
107,8531832,76
108,8531832,77
109,8531832,77
110,8531832,78
111,8531832,78
112,8531832,79
113,8531832,80
114,8531832,80
115,8531832,82
116,8531832,83
117,8531832,84
118,8531832,85
119,8531832,88
120,8531832,90
121,8531832,90
122,8531832,92
123,8531832,93
124,8531832,94
125,8531832,96
126,8531832,97
127,8531832,98
128,8531832,99
129,8531832,100
130,8531832,100
131,8531832,101
132,8531832,101
133,8531832,102
134,8531832,102
135,8531832,104
136,8531832,104
137,8531832,105
138,8531832,106
139,8531832,106
140,8531832,107
141,8531832,107
142,8531832,108
143,8531832,108
144,8531832,109
145,8531832,110
146,8531832,110
147,8531832,111
148,8531832,111
149,8531832,112
150,8531832,113
151,8531832,114
152,8531832,114
153,8531832,115
154,8531832,117
